简体	越南
下一级：对全体目标造成82%的伤害	Cấp sau: Gây 82% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成82%的伤害	Triệu hồi thiên thạch, gây 82% sát thương lên toàn thể địch
下一级：对全体目标造成84%的伤害	Cấp sau: Gây 84% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成84%的伤害	Triệu hồi thiên thạch, gây 84% sát thương lên toàn thể địch
下一级：对全体目标造成86%的伤害	Cấp sau: Gây 86% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成86%的伤害	Triệu hồi thiên thạch, gây 86% sát thương lên toàn thể địch
下一级：对全体目标造成88%的伤害	Cấp sau: Gây 88% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成88%的伤害	Triệu hồi thiên thạch, gây 88% sát thương lên toàn thể địch
下一级：对全体目标造成90%的伤害	Cấp sau: Gây 90% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成90%的伤害	Triệu hồi thiên thạch, gây 90% sát thương lên toàn thể địch
下一级：对全体目标造成92%的伤害	Cấp sau: Gây 92% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成92%的伤害	Triệu hồi thiên thạch, gây 92% sát thương lên toàn thể địch
下一级：对全体目标造成94%的伤害	Cấp sau: Gây 94% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成94%的伤害	Triệu hồi thiên thạch, gây 94% sát thương lên toàn thể địch
下一级：对全体目标造成96%的伤害	Cấp sau: Gây 96% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成96%的伤害	Triệu hồi thiên thạch, gây 96% sát thương lên toàn thể địch
下一级：对全体目标造成98%的伤害	Cấp sau: Gây 98% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成98%的伤害	Triệu hồi thiên thạch, gây 98% sát thương lên toàn thể địch
下一级：对全体目标造成100%的伤害	Cấp sau: Gây 100% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成100%的伤害	Triệu hồi thiên thạch, gây 100% sát thương lên toàn thể địch
下一级：对全体目标造成102%的伤害	Cấp sau: Gây 102% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成102%的伤害	Triệu hồi thiên thạch, gây 102% sát thương lên toàn thể địch
下一级：对全体目标造成104%的伤害	Cấp sau: Gây 104% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成104%的伤害	Triệu hồi thiên thạch, gây 104% sát thương lên toàn thể địch
下一级：对全体目标造成106%的伤害	Cấp sau: Gây 106% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成106%的伤害	Triệu hồi thiên thạch, gây 106% sát thương lên toàn thể địch
下一级：对全体目标造成108%的伤害	Cấp sau: Gây 108% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成108%的伤害	Triệu hồi thiên thạch, gây 108% sát thương lên toàn thể địch
下一级：对全体目标造成110%的伤害	Cấp sau: Gây 110% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成110%的伤害	Triệu hồi thiên thạch, gây 110% sát thương lên toàn thể địch
下一级：对全体目标造成112%的伤害	Cấp sau: Gây 112% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成112%的伤害	Triệu hồi thiên thạch, gây 112% sát thương lên toàn thể địch
下一级：对全体目标造成114%的伤害	Cấp sau: Gây 114% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成114%的伤害	Triệu hồi thiên thạch, gây 114% sát thương lên toàn thể địch
下一级：对全体目标造成116%的伤害	Cấp sau: Gây 116% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成116%的伤害	Triệu hồi thiên thạch, gây 116% sát thương lên toàn thể địch
下一级：对全体目标造成118%的伤害	Cấp sau: Gây 118% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成118%的伤害	Triệu hồi thiên thạch, gây 118% sát thương lên toàn thể địch
下一级：对全体目标造成120%的伤害	Cấp sau: Gây 120% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成120%的伤害	Triệu hồi thiên thạch, gây 120% sát thương lên toàn thể địch
下一级：对全体目标造成122%的伤害	Cấp sau: Gây 122% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成122%的伤害	Triệu hồi thiên thạch, gây 122% sát thương lên toàn thể địch
下一级：对全体目标造成124%的伤害	Cấp sau: Gây 124% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成124%的伤害	Triệu hồi thiên thạch, gây 124% sát thương lên toàn thể địch
下一级：对全体目标造成126%的伤害	Cấp sau: Gây 126% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成126%的伤害	Triệu hồi thiên thạch, gây 126% sát thương lên toàn thể địch
下一级：对全体目标造成128%的伤害	Cấp sau: Gây 128% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成128%的伤害	Triệu hồi thiên thạch, gây 128% sát thương lên toàn thể địch
下一级：对全体目标造成130%的伤害	Cấp sau: Gây 130% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成130%的伤害	Triệu hồi thiên thạch, gây 130% sát thương lên toàn thể địch
下一级：对全体目标造成132%的伤害	Cấp sau: Gây 132% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成132%的伤害	Triệu hồi thiên thạch, gây 132% sát thương lên toàn thể địch
下一级：对全体目标造成134%的伤害	Cấp sau: Gây 134% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成134%的伤害	Triệu hồi thiên thạch, gây 134% sát thương lên toàn thể địch
下一级：对全体目标造成136%的伤害	Cấp sau: Gây 136% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成136%的伤害	Triệu hồi thiên thạch, gây 136% sát thương lên toàn thể địch
下一级：对全体目标造成138%的伤害	Cấp sau: Gây 138% sát thương lên toàn thể mục tiêu
召唤大量陨石，对敌方全体武将造成138%的伤害	Triệu hồi thiên thạch, gây 138% sát thương lên toàn thể địch
已经到最高级	Đã đến cấp cao nhất
永久提高谋士50破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 50 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士100破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士150破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士200破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士250破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士300破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士350破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士400破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士450破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士500破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士550破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 550 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士600破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 600 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士650破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 650 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士700破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 700 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士750破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 750 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士800破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 800 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士850破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 850 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士900破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 900 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士950破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 950 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1000破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1000 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1050破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1050 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1100破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1150破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1200破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1250破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1300破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1350破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1400破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1450破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1500破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1550破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1550 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1600破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1600 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1650破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1650 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1700破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1700 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1750破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1750 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1800破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1800 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1850破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1850 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1900破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1900 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士1950破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 1950 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2000破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2000 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2050破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2050 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2100破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2150破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2200破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2250破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2300破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2350破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2400破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2450破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高谋士2500破招，破招可降低敌方格挡几率	Tăng Mưu Sĩ 2500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
下一级：永久提高谋士100点破招	Cấp sau: Tăng Mưu Sĩ 100 điểm Phá Chiêu
下一级：永久提高谋士150点破招	Cấp sau: Tăng Mưu Sĩ 150 điểm Phá Chiêu
下一级：永久提高谋士200点破招	Cấp sau: Tăng Mưu Sĩ 200 điểm Phá Chiêu
下一级：永久提高谋士250点破招	Cấp sau: Tăng Mưu Sĩ 250 điểm Phá Chiêu
下一级：永久提高谋士300点破招	Cấp sau: Tăng Mưu Sĩ 300 điểm Phá Chiêu
下一级：永久提高谋士350点破招	Cấp sau: Tăng Mưu Sĩ 350 điểm Phá Chiêu
下一级：永久提高谋士400点破招	Cấp sau: Tăng Mưu Sĩ 400 điểm Phá Chiêu
下一级：永久提高谋士450点破招	Cấp sau: Tăng Mưu Sĩ 450 điểm Phá Chiêu
下一级：永久提高谋士500点破招	Cấp sau: Tăng Mưu Sĩ 500 điểm Phá Chiêu
下一级：永久提高谋士550点破招	Cấp sau: Tăng Mưu Sĩ 550 điểm Phá Chiêu
下一级：永久提高谋士600点破招	Cấp sau: Tăng Mưu Sĩ 600 điểm Phá Chiêu
下一级：永久提高谋士650点破招	Cấp sau: Tăng Mưu Sĩ 650 điểm Phá Chiêu
下一级：永久提高谋士700点破招	Cấp sau: Tăng Mưu Sĩ 700 điểm Phá Chiêu
下一级：永久提高谋士750点破招	Cấp sau: Tăng Mưu Sĩ 750 điểm Phá Chiêu
下一级：永久提高谋士800点破招	Cấp sau: Tăng Mưu Sĩ 800 điểm Phá Chiêu
下一级：永久提高谋士850点破招	Cấp sau: Tăng Mưu Sĩ 850 điểm Phá Chiêu
下一级：永久提高谋士900点破招	Cấp sau: Tăng Mưu Sĩ 900 điểm Phá Chiêu
下一级：永久提高谋士950点破招	Cấp sau: Tăng Mưu Sĩ 950 điểm Phá Chiêu
下一级：永久提高谋士1000点破招	Cấp sau: Tăng Mưu Sĩ 1000 điểm Phá Chiêu
下一级：永久提高谋士1050点破招	Cấp sau: Tăng Mưu Sĩ 1050 điểm Phá Chiêu
下一级：永久提高谋士1100点破招	Cấp sau: Tăng Mưu Sĩ 1100 điểm Phá Chiêu
下一级：永久提高谋士1150点破招	Cấp sau: Tăng Mưu Sĩ 1150 điểm Phá Chiêu
下一级：永久提高谋士1200点破招	Cấp sau: Tăng Mưu Sĩ 1200 điểm Phá Chiêu
下一级：永久提高谋士1250点破招	Cấp sau: Tăng Mưu Sĩ 1250 điểm Phá Chiêu
下一级：永久提高谋士1300点破招	Cấp sau: Tăng Mưu Sĩ 1300 điểm Phá Chiêu
下一级：永久提高谋士1350点破招	Cấp sau: Tăng Mưu Sĩ 1350 điểm Phá Chiêu
下一级：永久提高谋士1400点破招	Cấp sau: Tăng Mưu Sĩ1400  điểm Phá Chiêu
下一级：永久提高谋士1450点破招	Cấp sau: Tăng Mưu Sĩ 1450 điểm Phá Chiêu
下一级：永久提高谋士1500点破招	Cấp sau: Tăng Mưu Sĩ 1500 điểm Phá Chiêu
下一级：永久提高谋士1550点破招	Cấp sau: Tăng Mưu Sĩ 1550 điểm Phá Chiêu
下一级：永久提高谋士1600点破招	Cấp sau: Tăng Mưu Sĩ 1600 điểm Phá Chiêu
下一级：永久提高谋士1650点破招	Cấp sau: Tăng Mưu Sĩ 1650 điểm Phá Chiêu
下一级：永久提高谋士1700点破招	Cấp sau: Tăng Mưu Sĩ 1700 điểm Phá Chiêu
下一级：永久提高谋士1750点破招	Cấp sau: Tăng Mưu Sĩ 1750 điểm Phá Chiêu
下一级：永久提高谋士1800点破招	Cấp sau: Tăng Mưu Sĩ 1800 điểm Phá Chiêu
下一级：永久提高谋士1850点破招	Cấp sau: Tăng Mưu Sĩ 1850 điểm Phá Chiêu
下一级：永久提高谋士1900点破招	Cấp sau: Tăng Mưu Sĩ 1900 điểm Phá Chiêu
下一级：永久提高谋士1950点破招	Cấp sau: Tăng Mưu Sĩ 1950 điểm Phá Chiêu
下一级：永久提高谋士2000点破招	Cấp sau: Tăng Mưu Sĩ 2000 điểm Phá Chiêu
下一级：永久提高谋士2050点破招	Cấp sau: Tăng Mưu Sĩ 2050 điểm Phá Chiêu
下一级：永久提高谋士2100点破招	Cấp sau: Tăng Mưu Sĩ 2100 điểm Phá Chiêu
下一级：永久提高谋士2150点破招	Cấp sau: Tăng Mưu Sĩ 2150 điểm Phá Chiêu
下一级：永久提高谋士2200点破招	Cấp sau: Tăng Mưu Sĩ 2200 điểm Phá Chiêu
下一级：永久提高谋士2250点破招	Cấp sau: Tăng Mưu Sĩ 2250 điểm Phá Chiêu
下一级：永久提高谋士2300点破招	Cấp sau: Tăng Mưu Sĩ 2300 điểm Phá Chiêu
下一级：永久提高谋士2350点破招	Cấp sau: Tăng Mưu Sĩ 2350 điểm Phá Chiêu
下一级：永久提高谋士2400点破招	Cấp sau: Tăng Mưu Sĩ 2400 điểm Phá Chiêu
下一级：永久提高谋士2450点破招	Cấp sau: Tăng Mưu Sĩ 2450 điểm Phá Chiêu
下一级：永久提高谋士2500点破招	Cấp sau: Tăng Mưu Sĩ 1250 điểm Phá Chiêu
对单体造成50%的伤害，并使其无法行动，持续1回合	Gây 50% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至52%	Cấp sau: Tăng sát thương lên mục tiêu đến 52%
对单体造成52%的伤害，并使其无法行动，持续1回合	Gây 52% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至54%	Cấp sau: Tăng sát thương lên mục tiêu đến 54%
对单体造成54%的伤害，并使其无法行动，持续1回合	Gây 54% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至56%	Cấp sau: Tăng sát thương lên mục tiêu đến 56%
对单体造成56%的伤害，并使其无法行动，持续1回合	Gây 56% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至58%	Cấp sau: Tăng sát thương lên mục tiêu đến 58%
对单体造成58%的伤害，并使其无法行动，持续1回合	Gây 58% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至60%	Cấp sau: Tăng sát thương lên mục tiêu đến 60%
对单体造成60%的伤害，并使其无法行动，持续1回合	Gây 60% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至62%	Cấp sau: Tăng sát thương lên mục tiêu đến 62%
对单体造成62%的伤害，并使其无法行动，持续1回合	Gây 62% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至64%	Cấp sau: Tăng sát thương lên mục tiêu đến 64%
对单体造成64%的伤害，并使其无法行动，持续1回合	Gây 64% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至66%	Cấp sau: Tăng sát thương lên mục tiêu đến 66%
对单体造成66%的伤害，并使其无法行动，持续1回合	Gây 66% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至68%	Cấp sau: Tăng sát thương lên mục tiêu đến 68%
对单体造成68%的伤害，并使其无法行动，持续1回合	Gây 68% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
下一级：对目标造成的伤害提高至70%	Cấp sau: Tăng sát thương lên mục tiêu đến 70%
对单体造成70%的伤害，并使其无法行动，持续1回合	Gây 70% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成72%的伤害，并使其无法行动，持续1回合	Gây 72% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成74%的伤害，并使其无法行动，持续1回合	Gây 74% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成76%的伤害，并使其无法行动，持续1回合	Gây 76% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成78%的伤害，并使其无法行动，持续1回合	Gây 78% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成80%的伤害，并使其无法行动，持续1回合	Gây 80% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成82%的伤害，并使其无法行动，持续1回合	Gây 82% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成84%的伤害，并使其无法行动，持续1回合	Gây 84% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成86%的伤害，并使其无法行动，持续1回合	Gây 86% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成88%的伤害，并使其无法行动，持续1回合	Gây 88% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成90%的伤害，并使其无法行动，持续1回合	Gây 90% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成92%的伤害，并使其无法行动，持续1回合	Gây 92% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成94%的伤害，并使其无法行动，持续1回合	Gây 94% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成96%的伤害，并使其无法行动，持续1回合	Gây 96% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成98%的伤害，并使其无法行动，持续1回合	Gây 98% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成100%的伤害，并使其无法行动，持续1回合	Gây 100% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成102%的伤害，并使其无法行动，持续1回合	Gây 102% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成104%的伤害，并使其无法行动，持续1回合	Gây 104% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成106%的伤害，并使其无法行动，持续1回合	Gây 106% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成108%的伤害，并使其无法行动，持续1回合	Gây 108% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成110%的伤害，并使其无法行动，持续1回合	Gây 110% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成112%的伤害，并使其无法行动，持续1回合	Gây 112% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成114%的伤害，并使其无法行动，持续1回合	Gây 114% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成116%的伤害，并使其无法行动，持续1回合	Gây 116% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成118%的伤害，并使其无法行动，持续1回合	Gây 118% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成120%的伤害，并使其无法行动，持续1回合	Gây 120% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成122%的伤害，并使其无法行动，持续1回合	Gây 122% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成124%的伤害，并使其无法行动，持续1回合	Gây 124% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成126%的伤害，并使其无法行动，持续1回合	Gây 126% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成128%的伤害，并使其无法行动，持续1回合	Gây 128% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成130%的伤害，并使其无法行动，持续1回合	Gây 130% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成132%的伤害，并使其无法行动，持续1回合	Gây 132% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成134%的伤害，并使其无法行动，持续1回合	Gây 134% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成136%的伤害，并使其无法行动，持续1回合	Gây 136% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成138%的伤害，并使其无法行动，持续1回合	Gây 138% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成140%的伤害，并使其无法行动，持续1回合	Gây 140% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成142%的伤害，并使其无法行动，持续1回合	Gây 142% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成144%的伤害，并使其无法行动，持续1回合	Gây 144% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成146%的伤害，并使其无法行动，持续1回合	Gây 146% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
对单体造成148%的伤害，并使其无法行动，持续1回合	Gây 148% sát thương lên 1 kẻ địch, và khiến họ không thể cử động, duy trì 1 hồi
