关键字	简体	越南
TUSEDAY_DESC	周二	Thứ 3
WEDNESDAY_DESC	周三	Thứ 4
THURSDAY_DESC	周四	Thứ 5
FRIDAY_DESC	周五	Thứ 6
SATURDAY_DESC	周六	Thứ 7
SUNDAY_DESC	周日	Chủ nhật
LEGION_COMING_SOON_DESC	虚位以待	Vô chủ 
LEGION_REGISTER_DESC	本军团已报名！	Quân Đoàn này đã báo danh !
LEGION_NO_REGISTER_DESC	本军团未报名！	Quân Đoàn này chưa báo danh !
LEGION_NO_PEOPLE_OCCUPY_DESC	无人占领	Vô chủ 
LEGION_DAY_DESC	%s天	%s ngày
LEGION_REGISTER_NUM_NO_ENOUGH	报名军团不足%d个！	Quân Đoàn báo danh không đủ %d !
LEGION_WAR_RUNING_TIME	每周皇城争霸时间	Thời gian Hoàng Thành Tranh Bá hàng tuần 
LEGION_BEFORE_OF_WAR_DESC	距离皇城争霸开始：	Hoàng Thành tranh bá bắt đầu sau:
LEGION_BEFORE_ONE_TURN_DESC	距离第一轮开始：	Hồi 1
LEGION_BEFORE_TWO_TURN_DESC	距离第二轮开始：	Hồi 2
LEGION_BEFORE_THREE_TURN_DESC	距离第三轮开始：	Hồi 3
LEGION_COUNT_DOWN_DESC	倒计时：	Còn:
LEGION_ONE_TURN_DESC	皇城争霸第一轮	Hoàng Thành Tranh Bá hồi 1
LEGION_TWO_TURN_DESC	皇城争霸第二轮	Hoàng Thành Tranh Bá hồi 2
LEGION_THREE_TURN_DESC	皇城争霸第三轮	Hoàng Thành Tranh Bá hồi 3
LEGION_WAR_OVER_DESC	本周争霸赛结束！	Cuộc thi tranh bá tuần này kết thúc !
LEGION_WEED_OUT_DESC	您所在的军团已被淘汰！	Quân Đoàn của ngươi đã bị loại ! 
LEGION_ONE_TURN_RUNING_DESC	争霸赛第一轮进行中	Đang tiến hành tranh bá hồi 1
LEGION_TWO_TURN_RUNING_DESC	争霸赛第二轮进行中	Đang tiến hành tranh bá hồi 2
LEGION_THREE_TURN_RUNING_DESC	争霸赛第三轮进行中	Đang tiến hành tranh bá hồi 3
LEGION_GET_REWARD_ONE_TURN_DESC	皇城争霸第一轮奖励	Hoàng Thành Tranh Bá hồi 1
LEGION_GET_REWARD_TWO_TURN_DESC	皇城争霸第二轮奖励	Hoàng Thành Tranh Bá hồi 2
LEGION_GET_REWARD_THREE_TURN_DESC	皇城争霸第三轮奖励	Hoàng Thành Tranh Bá hồi 3
LEGION_CONFIRM_BUY_MOVE	是否花费%d元宝购买%d点行动力？	Đồng ý dùng %d KNB mua %d điểm hoạt lực ?
LEGION_REGISTER_NOTICE_DESC	只有军团长和副军团长才有资格报名!	Chỉ có Quân Đoàn trưởng và Quân Đoàn phó mới có tư cách báo danh !
LEGION_BATTLE_PROMOTION_SUCCESS	恭喜！您所在的军团成功晋级下一轮	Chúc mừng ! Quân Đoàn của ngươi đã thành công tiến vào vòng trong 
LEGION_BATTLE_PROMOTION_FAILED	很遗憾，您所在的军团未能晋级	Thật đáng tiếc, Quân Đoàn của ngươi chưa thể tiến vào vòng trong 
LEGION_MYMAINCITY	主城 · %s	Chủ thành %s
LEGION_MYVICECITY	附城 · %s	Phụ thành %s
LEGION_ATTACK_BUFF	(军团全员攻击+%d%%)	(Toàn thể Quân Đoàn công kích +%d%%)
LEGION_PROMOTE_EMPEROR	恭喜贵军团成为皇城霸主！	Chúc mừng Quân Đoàn này đã trở thành Hoàng Thành bá chủ !
LEGION_WAR_NO_OPEN_DESC	本周争霸赛无法开赛	Cuộc thi tranh bá tuần này không thể bắt đầu
LEGION_ALL_ASSIGN_ROLE_DESC	全体武将	Tất cả Võ Tướng 
LEGION_ALL_ROLE_ATTACK_BUFF	攻击+%d%%	Công kích +%d%%
LEGION_ALL_ROLE_HEALTH_BUFF	士兵+%d%%	Binh Lực +%d%%
LEGION_ALL_ROLE_DEFENCE_BUFF	防御+%d%%	Phòng ngự +%d%%
LEGION_ALL_ROLE_MDEFENCE_BUFF	谋防+%d%%	Mưu Phòng +%d%%
LEGION_SERVER_DATA_CHANGED_REFRESH	抱歉，数据已变更并刷新	Xin lỗi, dữ liệu đã cập nhật và làm mới
LEGION_WAR_BATTLEFIELD_INIT_DESC	战场初始化中	Chiến trường đang khởi động
LEGION_FINAL_WAR_DESC	最终战	Kết quả
LEGION_LAST_FINAL_WAR_RESULT_DESC	上届皇城争霸最终结果	Hoàng Thành Tranh Bá kỳ trước
LEGION_FINAL_WAR_RESULT_DESC	本届皇城争霸最终结果	Hoàng Thành Tranh Bá kỳ này
LEGION_CAN_NOT_OPERATE_DURING_WAR	军团战期间不能进行此项操作	Thời gian Quân Đoàn chiến không thể tiến hành thao tác này 
LEGION_WAR_BALANCE	战场结算中...	Đang tổng kết chiến trường…
LEGION_OUT_REGISTER_TIME	报名时间已过期！	Thời gian báo danh đã quá hạn !
LEGION_IMMEDIATELY_JOIN	立即加入	Xin gia nhập
LEGION_CITY_NO_LEGION	【无】	[Không]
LEGION_BATTLE_INFO_REFRESH	战场情报已刷新！	Chiến trường tình báo đã làm mới !
LEGION_FINISH_KILL_DESC	%s完成了%d连斩!	%s đã hoàn thành %d liên trảm !
LEGION_DEFENCE_FAILED_MESSAGE	你被%s击败，损失了%d点体力。	Bạn bị %s đánh bại, tổn thất %d điểm thể lực. 
LEGION_DEFENCE_FAILED_AND_GOHOME_MESSAGE	你被%s击败，损失了%d点体力，体力耗尽回到主城休养生息。	Bạn bị %s đánh bại, tổn thất %d điểm thể lực, thể lực cạn kiệt quay về chủ thành nghỉ ngơi lấy lại sức thôi.
LEGION_DEFENCE_SUCCEED_MESSAGE	你成功抵御了%s的进攻，消耗了%d点体力。	Bạn đã thành công chống cự được sự tấn công của %s, tiêu hao %d điểm thể lực.
LEGION_DEFENCE_SUCCEED_AND_GOHOME_MESSAGE	你成功抵御了%s的进攻，消耗了%d点体力，体力耗尽回到主城休养生息。	Bạn đã thành công chống cự được sự tấn công của %s, tiêu hao %d điểm thể lực, thể lực cạn kiệt quay về chủ thành nghỉ ngơi lấy lại sức thôi.
LEGION_USEUP_GOLD_DONATE_TIMES	今日金币捐献次数已用完！	Hết lượt quyên góp !
LEGOIN_BOSS_BUFF_LAST	攻击+%d%%，剩余持续%d场战斗	Công kích +%d%%, duy trì %d trận
LEGION_KILL_BOSS_BUFF	击杀BUFF	Kích sát BUFF
LEGION_KILL_BOSS_BUFF_NUMBER	攻击+%d%%	Công kích +%d%%
LEGION_DO_NOT_BEAT_OTHERS	别打了，对方已经嗝屁了	Đừng đánh nữa, đối phương đã sợ lắm rồi
LEGION_BUY_TIMES_OVER	今日购买次数已用完	Đã dùng hết số lần mua hôm nay
LEGION_REMAIN_TIMES	剩余%d次	Còn lại %d lần
LEGION_FREE_REVIVE	免费复活	Hồi phục
LEGION_CASH_REVIVE	元宝复活	Hồi phục KNB
LEGION_CASH_REVIVE_CONFIRM	本次复活將花费%d元宝，是否确定复活(剩余元宝复活次数：%d次)	Lần hồi phục này dùng %d KNB, đồng ý hồi phục (Số lần KNB hồi phục còn lại: %d lần)
E_STR_RANK_HIGHEST_RANK_PANEL	历史最高排名：%d	Hạng cao nhất: %d
E_STR_PAWNSHOP_NOT_ENOUGH_CASH	您当前元宝不足，是否前往充值？	Hiện tại KNB của ngươi không đủ, đổi KNB ?
E_STR_ACCPAY_RECHARGE	充值满%d元宝即可获得	Nạp đủ %d KNB sẽ nhận được ngay
E_STR_ACCPAY_GOT_REWARD_1	已领	Đã nhận
E_STR_ACCPAY_REWARD_OUT_OF_TIME	活动已结束，请尽快领取奖励	Sự kiện đã kết thúc, hãy nhanh chóng nhận phần thưởng
BALL_BUY_TIMES_OVER	龙珠购买次数已达上限！	Số lần mua Long Châu đã đạt giới hạn
REVIVE_BUY_TIMES_OVER	今日复活次数已用完！	Đã dùng hết số lần hồi phục hôm nay !
GOLD_INSPIRE_TIMES_OVER	今日金币鼓舞次数已用完！	Đã dùng hết số lần Kim cổ vũ hôm nay !
CASH_INSPIRE_TIMES_OVER	今日元宝鼓舞次数已用完！	Đã dùng hết số lần KNB cổ vũ hôm nay !
E_STR_MOPUP_MAX_LIMIT_DESC	君主%d级或VIP%d级扫荡次数上限提升至%d次	Quân Chủ cấp %d hoặc VIP %d số lần càn quét tối đa tăng đến %d lần
E_STR_UPGRADE_NEED_MOPUP_TIMES	升级还需扫荡：%d次	Tăng cấp cần: %d lần 
LEGION_MAX_APPLY_PEOPLE	该军团申请人数达到上限	Số lượng người xin Quân Đoàn này đã đạt giới hạn
LEGION_NAME_REPEAT	当前已有军团采用此名称，请重新确定军团名称	Hiện tại đã có Quân Đoàn sử dụng tên này, mời hãy nhập lại tên khác
E_STR_GIFTS_TARGET_DESC_1	等级达到%d级	Đạt cấp %d
E_STR_GIFTS_TARGET_DESC_2	拥有%d个彩将	Có %d Thần Tướng 
E_STR_GIFTS_TARGET_DESC_3	%d个武将完成1转	%d Võ Tướng tiến cấp 1 lần
E_STR_GIFTS_TARGET_DESC_4	%d个武将技达到%d级	%d Võ Tướng kỹ năng đạt cấp %d
E_STR_GIFTS_TARGET_DESC_5	镶嵌%d颗%d级宝石	Khảm %d viên Ngọc cấp %d
E_STR_GIFTS_TARGET_DESC_6	战斗力达到%d	Lực chiến đạt đến %d
E_STR_GIFTS_DAY_DESC_1	进入游戏第一天，君主等级达到对应等级即可领取奖励	Ngày 1, cấp Quân Chủ đạt đến cấp tương ứng sẽ nhận ngay phần thưởng 
E_STR_GIFTS_DAY_DESC_2	进入游戏第二天，拥有彩将达到对应数目即可领取奖励	Ngày 2, sở hữu Thần Tướng đạt đến con số tương ứng sẽ nhận ngay phần thưởng 
E_STR_GIFTS_DAY_DESC_3	进入游戏第三天，武将转职达到对应条件即可领取奖励	Ngày 3, số Võ Tướng tiến cấp 1 lần đạt đến con số tương ứng sẽ nhận ngay phần thưởng
E_STR_GIFTS_DAY_DESC_4	进入游戏第四天，武将技能达到对应条件即可领取奖励	Ngày 4, số Võ Tướng có kỹ năng đạt đến con số tương ứng sẽ nhận ngay phần thưởng 
E_STR_GIFTS_DAY_DESC_5	进入游戏第五天，镶嵌宝石达到对应数目即可领取奖励	Ngày 5, số Ngọc khảm vào trang bị đạt đến con số tương ứng sẽ nhận ngay phần thưởng 
E_STR_GIFTS_DAY_DESC_6	进入游戏第六天，君主战力达到对应战力即可领取奖励	Ngày 6, Lực Chiến đạt đến con số tương ứng sẽ nhận ngay phần thưởng 
E_STR_GIFTS_DAY_BTN_DESC_1	冲级获奖	Tăng cấp 
E_STR_GIFTS_DAY_BTN_DESC_2	招将返利	Chiêu tướng
E_STR_GIFTS_DAY_BTN_DESC_3	转职送礼	Tiến cấp
E_STR_GIFTS_DAY_BTN_DESC_4	竞技升级	Nâng cấp kỹ năng
E_STR_GIFTS_DAY_BTN_DESC_5	镶嵌送礼	Khảm ngọc
E_STR_GIFTS_DAY_BTN_DESC_6	战力提升	Nâng cao lực chiến
E_STR_GIFTS_DAY_BTN_DESC_7	未达标	Chưa đạt
E_STR_GIFTS_REMINDER_DESC	您有之前达成目标后的奖励未领取，请注意领取。	Bạn có phần thưởng đạt mục tiêu trước đó vẫn chưa nhận, chú ý nhận nhé.
E_STR_ONLY_SRED_ROLE_AWAKE	只有彩色武将可觉醒	Chỉ có Thần Tướng có thể Phong Thần
E_STR_NO_OPEN_THIS_ROLE_AWAKE	本武将觉醒尚未开放	Võ Tướng này vẫn chưa mở Phong Thần
E_STR_SOLDIER_LEVEL_AND_SOLDIER_LEVEL	%d阶/%d阶	Cấp %d/%d
E_STR_NO_ROLE_AWAKE_SOLDIER_LEVEL	兵种转职到3阶方可进行觉醒	Binh chủng tiến cấp đến cấp 3 có thể Phong Thần
E_STR_NO_ROLE_AWAKE_GOD_FRAGMENT	神将碎片不足，参加世界boss可获得神将碎片	Mảnh Phong Thần không đủ, tham gia BOSS có thể nhận được Mảnh Phong Thần
E_STR_PVE_SKIP_INFO1	VIP%d级可跳过战斗	VIP %d có thể bỏ qua chiến đấu 
AND_CLOSE	你确定要退出游戏吗？	Bạn chắc chắn muốn thoát khỏi trò chơi ?
E_STR_GOT_CDKEY	同一活动激活码只能使用一次	Cùng một Giftcode chỉ được sử dụng 1 lần
E_STR_TOMB_FIGHT	挑战	Khiêu chiến
E_STR_MAX_CHALENGE_TIME	今日次数已用完，请明日再来	Đã dùng hết số lần hôm nay, ngày mai quay lại nhé !
CHANGE_ACCOUNT	重启游戏，切换账号？	Khởi động lại trò chơi, đổi tài khoản
E_STR_SKILL_BOOK	恭喜合成%d本技能书	Chúc mừng ghép %d sách kỹ năng 
E_STR_URL	http://www.yaowan.com/?m=topic&action=mdcactivity	Ấn nhận thưởng, đồng ý nhận <font color=
LOGIN_LOSE_EFFICACY	登录失效,请重新启动游戏。	Đăng nhập thất bại, hãy khởi động lại trò chơi
E_STR_WELFARE_DESC	你目前不是VIP，无法领取第四项VIP专属奖励，确定只领取前三项奖励吗？	Hiện tại ngươi không phải VIP, không thể nhận phần thưởng thứ 4 quyền lợi VIP, đồng ý nhận 3 phần thưởng trước đó chứ ?
E_STR_WELFARE_END	已结束	Đã kết thúc
E_STR_WELFARE_NORANK	未上榜	Chưa có
E_STR_WELFARE_NORANK1	无人上榜	Không có
E_STR_GETAWARD_COUNTDOWN	领奖倒计时:	Nhận thưởng còn:
E_STR_WELFARE_TIMEEND	结束倒计时:	Kết thúc còn:
E_STR_WELFARE_RECHARG_DESC	个人累计消费:	Tích lũy tiêu phí cá nhân:
E_STR_WELFARE_RANK_DESC	当前排行:	Hạng hiện tại:
E_STR_WELFARE_NAME_DESC	单服累计消费元宝：	Đơn phục tích lũy KNB:
HELP_TRAINING_1	进入训练馆，点击卡牌上的<img src='uires/ui_2nd/com/common_btn/upgrade_1.png'/>按钮即可为训练位升级。	Vào Thao Trường, ấn vào nút <img src='uires/ui_2nd/com/common_btn/upgrade_1.png'/> để tăng cấp huấn luyện
HELP_TRAINING_2	点击标有“点击训练”的训练位，选择武将可进行训练。	Ấn vào ô huấn luyện có hiển thị “Ấn để huấn luyện”, chọn Võ Tướng có thể tiến hành huấn luyện 
HELP_TRAINING_3	同一武将可重复进行训练，武将训练后可立刻得到对应武将经验。	Cùng một Võ Tướng có thể lặp lại huấn luyện, sau khi huấn luyện sẽ nhận ngay Exp Võ Tướng tương ứng 
HELP_TRAINING_4	点击加速可通过消耗元宝来清除该训练位的冷却时间。	Ấn tăng tốc có thể dùng KNB để xóa thời gian chờ huấn luyện
HELP_TRAINING_5	训练位分别有“青铜训练位”、“白银训练位”、“黄金训练位”三个品级。	Huấn luyện phân biệt có 3 cấp bậc “Thanh Đồng huấn luyện”, “Bạch Ngân huấn luyện”, “Hoàng Kim huấn luyện”
HELP_TRAINING_6	训练位需要VIP等级以及消耗元宝来进行升级。	Huấn luyện yêu cầu cấp VIP và tiêu hao KNB để tiến hành tăng cấp 
HELP_TRAINING_7	VIP3以上可升级为白银训练位	VIP3 trở lên có thể tăng cấp thành Bạch Ngân huấn luyện
HELP_TRAINING_8	VIP6以上可升级为黄金训练位	VIP6 trở lên có thể tăng cấp thành Hoàng Kim huấn luyện
HELP_MILITARY_1	点击“刷新”按钮后，当前兵种陈列的属性重置。	Sau khi ấn nút “Làm mới”, thiết lập lại các thuộc tính binh chủng hiển thị hiện tại 
HELP_MILITARY_2	选择一个陈列的属性后，点击“历练”有几率提升该项属性，每次历练将消耗一些军功。(军功可在擂台获得)	Sau khi chọn một thuộc tính hiển thị, ấn “tập luyện” có tỉ lệ nâng cao thuộc tính này, mỗi lần tập luyện mất 1 ít Quân Công. (Quân Công có thể nhận được tại Lôi Đài)
HELP_MILITARY_3	点击兵种上的放大镜按钮，可查看该兵种所有历练属性的值。	Ấn vào nút phóng đại trên binh chủng, có thể xem được tất cả chỉ số tập luyện thuộc tính của binh chủng này
HELP_MILITARY_4	历练属性按档次分为白、<font color='#009CFF'>蓝</font>、<font color='#D800FF'>紫</font>、<font color='#FE9B00'>橙</font>四个品级。品级越好，历练成功后提升的属性越高，消耗军功数量也越多。	Thuộc tính tập luyện căn cứ theo trắng, <font color='#009CFF'>lam</font>, <font color='#D800FF'>tím</font>, <font color='#FE9B00'>cam</font> 4 loại cấp bậc. Cấp bậc càng tốt, thì sau khi tập luyện thành công thuộc tính sẽ càng cao, tiêu hao số lượng Quân Công càng nhiều
HELP_MILITARY_5	成功率的上限为100%，历练成功会降低5%的成功率。	Tỉ lệ thành công giới hạn là 100%, tập luyện thành công sẽ giảm 5% của tỉ lệ thành công
HELP_TAVERN_1	招贤馆可招募到的武将品质由低到高分为<font color='#009CFF'>蓝</font>、<font color='#D800FF'>紫</font>、<font color='#FE9B00'>橙</font>、<font color='#FF0000'>血</font>色武将	Tửu Quán có thể chiêu mộ Võ Tướng có phẩm chất <font color='#009CFF'>Lam</font>, <font color='#D800FF'>Tử</font>, <font color='#FE9B00'>Kim</font>, <font color='#FF0000'>Huyết</font>, Thần
HELP_TAVERN_2	积攒一定数量的将魂可以在兑换界面兑换自己喜欢的极品武将	Thu thập đủ số lượng Tướng Hồn có thể đổi Võ Tướng cực phẩm mà mình yêu thích tại màn hình đổi
HELP_TAVERN_3	每日内，随着每次金币招募所需金币数量的增加，招募到<font color='#FF0000'>血</font>色武将的概率也会增加!	Hằng ngày, tùy vào sự tăng lên của số Vàng cần thiết mỗi lần, tỉ lệ thành công chiêu mộ được <font color='#FF0000'>Huyết Tướng</font> cũng sẽ tăng lên 
HELP_TAVERN_4	招募武将达到数量限制或出现重复武将时，则转为卡牌存放在“背包”中，“背包”中的武将卡可“召唤”激活，也可“分解”为将魂。	Khi chiêu mộ Võ Tướng đạt số lượng giới hạn hoặc xuất hiện trùng lắp, sẽ chuyển thành thẻ và được để trong Túi, thẻ Võ Tướng trong “túi” có thể “triệu hồi”, cũng có thể “phân giải” thành Tướng Hồn
HELP_SIGN_1	每日签到可获得相应奖励。	Điểm danh hằng ngày nhận được phần thưởng tương ứng
HELP_SIGN_2	在特定天数中，达到对应VIP等级及以上的玩家可领取翻倍奖励。	Trong trường hợp đặc biệt, người chơi đạt cấp VIP tương ứng trở lên sẽ nhận được phần thưởng gấp đôi.
HELP_SIGN_3	VIP奖励可以当日内升级VIP后进行补领。	Phần thưởng VIP có thể nhận bổ sung sau khi tăng cấp VIP trong ngày
HELP_SIGN_4	每日签到在0点进行刷新。当月未领取的奖励可点击补签按钮领取。	Điểm danh hằng ngày được làm mới lúc 0 giờ. Tháng đó nếu chưa nhận phần thưởng thì có thể ấn vào nút điểm danh bổ sung để nhận
HELP_SIGN_5	补签领取的奖励对应玩家当前VIP等级，并需要消耗少量元宝。	Nhận phần thưởng điểm danh bổ sung tương ứng với cấp VIP hiện tại của người chơi, và phải tiêu hao ít KNB. 
HELP_TOMB_1	君主可以向守墓士兵发起挑战，胜利后可以获得宝石，有一定几率获得<font color='#FE9B00'>5、6、7级宝石</font>	Quân Chủ có thể chủ động khiêu chiến Thủ Mộ Sĩ Binh, sau khi chiến thắng nhận được Ngọc, có tỉ lệ nhất định nhận được <font color='#FE9B00'>Ngọc cấp 5</font>
HELP_TOMB_2	每次挑战后，高级宝石的掉落概率都会增加，直至掉落高级宝石为止	Sau mỗi lần khiêu chiến, xác suất nhận Ngọc cao cấp đều tăng lên
HELP_TOMB_3	每次挑战成功后，扣除对应元宝，挑战失败不扣除元宝	Sau mỗi lần khiêu chiến thành công, tiêu knb tăng 5knb, thất bại ko mất KNB
HELP_TOMB_4	每日挑战次数为12次，每挑战成功一次扣除一次次数，失败不扣除次数	Số lần khiêu chiến mỗi ngày là 12, khiêu chiến thành công trừ 1, khiêu chiến thất bại không bị trừ
HELP_TRENA_1	点击界面中的玩家形象可以进行挑战。	Ấn vào hình tượng người chơi có thể tiến hành khiêu chiến 
HELP_TRENA_2	向上滑动擂台界面可查看排名前五的玩家。	Trượt lên giao diện Lôi Đài có thể xem người chơi 5 hạng đầu 
HELP_TRENA_3	擂台等级越高，每小时获得的军功越高。	Cấp Lôi Đài càng cao, Quân Công nhận được mỗi giờ càng cao 
HELP_TRENA_4	主动挑战获胜时，可获得擂台经验。	Khi chủ động khiêu chiến chiến thắng, nhận được Exp Lôi Đài 
HELP_TRENA_5	挑战失败不会扣除擂台经验。	Khiêu chiến thất bại sẽ không bị trừ Exp Lôi Đài
HELP_TRENA_6	挑战擂台等级比自身低10级的玩家不获得擂台经验。	Khiêu chiến người chơi có cấp Lôi Đài nhỏ hơn bản thân 10 cấp sẽ không nhận được Exp Lôi Đài.
HELP_TRENA_7	每天20:00后可领取擂台排名奖励(奖励无法累计)。	Hằng ngày sau 20:00 sẽ nhận được phần thưởng xếp hạng Lôi Đài (không cộng dồn)
HELP_TRENA_8	每天20:00后重置免费挑战次数。	Sau 20:00 giờ hằng ngày thiết lập lại số lần khiêu chiến miễn phí
HELP_GOLDMINE_1	金矿战斗分为“掠夺”（已被占领的金矿），“占领”（未被占领的金矿）	Ngân Khoáng chiến đấu chia thành “cướp” (Ngân Khoáng đã bị chiếm), “chiếm” (Ngân Khoáng chưa bị chiếm)
HELP_GOLDMINE_2	每天免费占领或掠夺金矿%d次，当天的次数使用完后，可消耗元宝购买占领或掠夺金矿的次数。	Hằng ngày miễn phí chiếm hoặc cướp Ngân Khoáng %d lần, khi sử dụng hết, có thể dùng KNB mua thêm số lần
HELP_GOLDMINE_3	占领期间被其他玩家击败，失去金矿，并被掠夺部分金币。产量越多的矿可掠夺的金币比例越大，失败则赔偿越多。如下图所示：	Trong lúc chiếm bị người chơi khác đánh bại, cướp mất Ngân Khoáng, và bị cướp một số Vàng, số Vàng đền bù dư sẽ bị hệ thống thu hồi 
HELP_GOLDMINE_4	通过赔偿获得的金币不能超过金矿正常产出的两倍，多余的赔偿金币将被系统回收	Số Vàng bồi thường nhận được không được vượt quá 2 lần số mà Ngân Khoáng sản sinh, số Vàng bồi thường dư ra sẽ bị hệ thống thu hồi 
HELP_LUCKYCARD_1	活动期间，每充值1元宝对应获得1积分。	Trong thời gian sự kiện, cứ nạp 1 KNB sẽ nhận tương ứng 1 Điểm
HELP_LUCKYCARD_2	幸运翻牌活动中，翻牌和刷新都只能消耗积分。	Trong thời gian sự kiện, lật bài hay làm mới đều tiêu hao Điểm
HELP_LUCKYCARD_3	每一轮翻牌开始前，点击刷新按钮可刷新奖励，刷新消耗的积分会随着翻牌次数增长。	Trước khi lật bài, ấn vào nút làm mới có thể làm mới phần thưởng
HELP_LUCKYCARD_4	每一轮翻牌中，翻牌消耗的积分会随着翻牌次数增长而增长。	Trong mỗi lần lật bài, Điểm tiêu hao tùy thuộc số lần lật bài 
HELP_LUCKYCARD_5	每一轮开始时，重置翻牌次数和刷新次数。	Mỗi lần bắt đầu, thiết lập lại số lần lật bài và làm mới số lần 
HELP_LUCKYCARD_6	领取奖励后，本轮结束。	Sau khi nhận phần thưởng, lần lật bài đó kết thúc 
HELP_BOSS_AWARD_1	世界BOSS活动每晚19:30开始，持续30分钟，等级27级以上的玩家才能参与活动	Sự kiện BOSS bắt đầu lúc 19:30 mỗi tối, duy trì 30 phút, người chơi cấp 27 trở lên mới được tham gia sự kiện 
HELP_BOSS_AWARD_2	活动过程中BOSS被击杀后活动提前结束	Trong thời gian sự kiện, sau khi BOSS bị kích sát thì sự kiện sẽ kết thúc sớm hơn
HELP_BOSS_AWARD_3	活动后按照对BOSS的伤害排名发放奖励	Sau sự kiện sẽ căn cứ vào xếp hạng sát thương của BOSS để phát phần thưởng 
HELP_BOSS_AWARD_4	对BOSS造成最后一击的君主将获得特殊奖励	Quân Chủ ra đòn cuối cùng khi đánh BOSS sẽ được nhận phần thưởng đặc biệt 
HELP_BOSS_AWARD_5	对BOSS的伤害累积到一定程度，可以获得累伤奖励	Tích lũy sát thương khi đánh BOSS đạt trình độ nhất định, sẽ nhận được phần thưởng sát thương
HELP_BOSS_AWARD_6	累伤奖励产出龙珠，龙珠也可以通过消耗元宝购买获得	Chỉ số sát thương tích luỹ khác nhau sẽ nhận đc phần thưởng Ngọc Rồng loại khác nhau
HELP_BOSS_AWARD_7	凑齐7种不同龙珠可以兑换宝箱，开启后获得丰厚奖励	Thu thập đủ 7 loại Long Châu khác nhau có thể đổi Bảo Rương, sau khi mở sẽ nhận được phần thưởng hậu hĩnh
HELP_BOSS_CHALLENGE_1	活动最多持续30分钟，期间BOSS被击杀后活动提前结束	Kéo dài 30 phút, BOSS bị kích sát thì sự kiện sẽ kết thúc sớm hơn 
HELP_BOSS_CHALLENGE_2	君主们可以向BOSS发起进攻，直到BOSS被击杀为止	Quân Chủ có thể tấn công Boss, cho đến khi Boss bị kích sát mới thôi 
HELP_BOSS_CHALLENGE_3	君主们可以花费金币或元宝进行鼓舞，增加上阵武将攻击力	Quân Chủ có thể dùng Vàng hoặc KNB để tiến hành cổ vũ, tăng lực công kích của Võ Tướng xuất trận 
HELP_BOSS_CHALLENGE_4	鼓舞增加的攻击力上限为100%	Cổ vũ tăng công kích tối đa 100%
HELP_BOSS_CHALLENGE_5	每次战斗结束后，需要等待1分钟的复活时间才能再次战斗	Mỗi lần sau khi kết thúc chiến đấu, cần phải đợi 1 phút thời gian mới có thể chiến đấu lần nữa
HELP_BOSS_CHALLENGE_6	花费元宝可以清除战斗CD，立即再次投入战斗	Dùng KNB có thể xóa bỏ thời gian chờ, lập tức có thể chiến đấu lần nữa 
HELP_BOSS_CHALLENGE_7	战斗结束后根据伤害排名向君主们发放奖励	Sau khi kết thúc chiến đấu căn cứ vào xếp hạng sát thương để phát phần thưởng cho Quân Chủ 
HELP_BOSS_CHALLENGE_8	君主们使用自动战斗可以自动与BOSS发生战斗，自动战斗无任何损耗	Quân Chủ có thể sử dụng tự động chiến đấu để chiến đấu với BOSS, tự động chiến đấu không hề tổn thất gì cả
HELP_BOSS_CHALLENGE_9	自动战斗时，不会显示战斗过程，只提示战斗结果	Khi tự động chiến đấu, sẽ không hiển thị quá trình chiến đấu, chỉ hiện thị kết quả chiến đấu
HELP_BOSS_CHALLENGE_10	使用刷新按钮可主动刷新查看BOSS血量，方便抢夺最后一击	Sử dụng nút làm mới có thể chủ động tra xem lượng máu của BOSS, thuận tiện việc cướp chiêu cuối cùng
HELP_LEGION_WAR_1	皇城争霸每周举行一次，共进行三轮比赛，周一12：00至周五12：00可报名。	Mỗi tuần tổ chức 1 lần gồm 3 hồi, báo danh từ 12:00 thứ 2 đến 12:00 thứ 6
HELP_LEGION_WAR_2	周五12：00报名截止，若不足2个军团报名，将无法启动本周皇城争霸。	Sau 12:00 thứ 6 hết hạn báo danh, nếu ít hơn 2 Quân Đoàn báo danh thì không mở hoạt động
HELP_LEGION_WAR_3	每周五20:00—20:30，每3个军团分为一组进行第一轮比赛，第一轮积分最高的9个军团晋级第二轮。	20:00 – 20:30 thứ 6 hàng tuần, hồi 1: mỗi đội 3 Quân Đoàn tranh bá, 9 Quân Đoàn điểm cao nhất được vào hồi 2
HELP_LEGION_WAR_4	每周六20:00—20:30，每3个军团分为一组进行第二轮比赛，第二轮积分最高的3个军团将于周日20:00—20:30,进行第三轮最终战。	20:00 – 20:30 thứ 7 hàng tuần, hồi 2: mỗi đội 3 Quân Đoàn tranh bá, 3 Quân Đoàn điểm cao nhất được vào hồi 3 đấu chung kết vào 20:00 - 20:30 chủ nhật
